CustomerKey,CustomerCode,FirstName,LastName,Education,Occupation,GeographyKey
16665,27664,Luis,Roberts,Bachelors,Management,26
9044,20043,Brent,Zheng,Partial High School,Manual,69
12800,23799,Carolyn,Chandra,Partial High School,Clerical,2
6344,17343,Tristan,Price,Partial High School,Clerical,14
10387,21386,Abigail,Wood,Partial College,Skilled Manual,22
13957,24956,Ariana,Ward,Partial High School,Skilled Manual,2
7971,18970,Jason,Roberts,Graduate Degree,Management,39
13025,24024,Marie,Malhotra,Graduate Degree,Clerical,58
18828,CS583,Unknown,Unknown,Unknown,Unknown,8
11700,22699,Clarence,Chande,Partial High School,Manual,60
18818,CS566,Unknown,Unknown,Unknown,Unknown,4
15677,26676,Emily,Jenkins,High School,Professional,36
18800,CS507,Unknown,Unknown,Unknown,Unknown,89
14365,25364,Isaac,Rogers,High School,Skilled Manual,89
10864,21863,Shawna,Anand,Partial High School,Skilled Manual,107
9672,20671,Ronald,Sanchez,Graduate Degree,Professional,16
6671,17670,Gabrielle,Alexander,High School,Skilled Manual,36
8137,19136,Richard,Cook,Graduate Degree,Professional,11
10650,21649,Keith,Nara,Bachelors,Professional,30
2683,13682,Fernando,Lopez,High School,Manual,60
18853,CS642,Unknown,Unknown,Unknown,Unknown,82
4384,15383,Charles,Rivera,Bachelors,Management,36
3272,14271,Lucas,Wright,High School,Skilled Manual,1
1630,12629,Russell,Nara,Partial College,Manual,57
11390,22389,Edwin,Luo,Bachelors,Clerical,69
10247,21246,Samuel,Nelson,High School,Skilled Manual,12
5652,16651,Abigail,Martinez,Bachelors,Management,80
9538,20537,Thomas,Evans,Bachelors,Management,37
14989,25988,Victor,Muñoz,High School,Skilled Manual,3
15468,26467,Nicole,Brooks,Bachelors,Management,23
17356,28355,Carlos,James,Bachelors,Professional,35
3368,14367,Courtney,Green,Graduate Degree,Skilled Manual,87
14582,25581,Kayla,Bryant,Partial College,Manual,97
7851,18850,Ethan,Hughes,Bachelors,Management,23
3026,14025,Robert,Alexander,High School,Skilled Manual,10
12917,23916,Ruben,Serrano,Partial High School,Manual,59
17764,28763,Mohamed,Pal,Partial College,Clerical,15
10852,21851,Stuart,Railson,High School,Professional,59
15046,26045,Samuel,Jenkins,Partial High School,Skilled Manual,87
8778,19777,Jonathan,Thomas,Partial College,Skilled Manual,39
12922,23921,Charles,Lee,Bachelors,Professional,72
6984,17983,Carol,Saunders,Bachelors,Clerical,57
16667,27666,Alyssa,Garcia,Partial High School,Skilled Manual,22
13399,24398,Brandon,Davis,Graduate Degree,Management,9
18873,CS694,Unknown,Unknown,Unknown,Unknown,86
4196,15195,Edwin,Huang,Bachelors,Management,30
14373,25372,Carrie,Torres,Graduate Degree,Skilled Manual,124
436,11435,Robin,Romero,Partial College,Management,113
10066,21065,Robert,Thompson,Bachelors,Clerical,61
4546,15545,Jennifer,Rivera,High School,Skilled Manual,24
7985,18984,Shelby,Rivera,Bachelors,Management,80
13392,24391,Marissa,Washington,High School,Professional,37
322,11321,Terrance,Raman,Bachelors,Management,29
3520,14519,Denise,Rana,Partial College,Skilled Manual,3
3559,14558,Marcel,Truempy,Bachelors,Skilled Manual,14
3560,14559,Ashley,Washington,Bachelors,Skilled Manual,54
3561,14560,Kelvin,Huang,Bachelors,Skilled Manual,2
3521,14520,Bonnie,Xu,Partial College,Skilled Manual,53
701,11700,Xavier,Richardson,Bachelors,Professional,35
3508,14507,Eric,Wright,Graduate Degree,Management,35
706,11705,Brooke,Richardson,Graduate Degree,Professional,35
3513,14512,Christopher,Jones,Bachelors,Management,79
8870,19869,Carol,Brooks,Partial College,Professional,26
696,11695,Logan,Campbell,Bachelors,Skilled Manual,41
11221,22220,Brandon,Sharma,High School,Professional,76
11222,22221,Benjamin,Kumar,High School,Professional,28
11223,22222,Angel,Hill,Partial College,Professional,32
11245,22244,Shelby,Howard,Bachelors,Skilled Manual,84
11246,22245,Evan,Lopez,Bachelors,Skilled Manual,78
11247,22246,Jacqueline,Cox,Bachelors,Skilled Manual,17
11250,22249,Kevin,Chen,Graduate Degree,Professional,36
11251,22250,Michael,Wilson,Graduate Degree,Professional,27
11255,22254,Fernando,Scott,Graduate Degree,Professional,47
11256,22255,Nicole,Rogers,Graduate Degree,Professional,10
11257,22256,Edwin,Lu,Graduate Degree,Professional,24
11258,22257,Carrie,Romero,Graduate Degree,Professional,30
11260,22259,Dalton,Mitchell,Bachelors,Professional,76
11261,22260,Courtney,Allen,Bachelors,Skilled Manual,81
11262,22261,Isaac,Allen,Bachelors,Skilled Manual,16
11263,22262,Marcus,Collins,Bachelors,Skilled Manual,23
11267,22266,Rachel,Sanders,Graduate Degree,Professional,9
11270,22269,Caleb,Yang,Graduate Degree,Professional,30
11271,22270,Antonio,Gonzales,Graduate Degree,Professional,55
11272,22271,Connor,Mitchell,Graduate Degree,Professional,6
11273,22272,Isabella,Kelly,Graduate Degree,Professional,33
11292,22291,Carlos,Morris,Bachelors,Professional,16
11293,22292,Stacy,Gomez,Bachelors,Professional,12
11295,22294,Rachel,Brown,Bachelors,Professional,55
11296,22295,Jade,Morgan,Bachelors,Professional,40
11297,22296,Benjamin,Johnson,Bachelors,Professional,36
11298,22297,Jasmine,Garcia,Bachelors,Professional,34
11301,22300,Kaitlyn,Price,Graduate Degree,Professional,7
11302,22301,Abigail,Rodriguez,Graduate Degree,Professional,18
11327,22326,Riley,Howard,Partial College,Clerical,73
11328,22327,Jake,Cai,Partial College,Clerical,29
9127,20126,Seth,Carter,Graduate Degree,Skilled Manual,27
9128,20127,Carlos,Sanders,Graduate Degree,Skilled Manual,75
9130,20129,Nicole,Stewart,Graduate Degree,Skilled Manual,3
9182,20181,Catherine,Brooks,Partial College,Skilled Manual,31
325,11324,Zachary,Anderson,Bachelors,Management,55
328,11327,Jaime,Moreno,Bachelors,Management,12
330,11329,Andy,Alvarez,Bachelors,Management,30
6872,17871,Sydney,Patterson,Partial College,Skilled Manual,52
6873,17872,Robert,Miller,Graduate Degree,Skilled Manual,80
7050,18049,Patrick,Watson,High School,Skilled Manual,89
7051,18050,Sara,Cooper,Partial College,Skilled Manual,20
7054,18053,Stefanie,Smith,Bachelors,Professional,131
2897,13896,Hailey,Mitchell,Graduate Degree,Professional,29
326,11325,Elijah,Ross,Bachelors,Management,10
500,11499,Pedro,Vance,Partial College,Clerical,30
2902,13901,Oscar,Foster,Graduate Degree,Professional,48
323,11322,Sydney,Garcia,Bachelors,Management,53
7053,18052,Maria,Young,Partial College,Skilled Manual,13
2892,13891,Aaron,Simmons,Graduate Degree,Professional,18
7063,18062,Dylan,Anderson,Bachelors,Management,5
2952,13951,Dylan,Hughes,Graduate Degree,Management,1
2977,13976,Emmanuel,Smith,Bachelors,Management,53
2979,13978,Zoe,Peterson,Bachelors,Management,73
2980,13979,Chloe,Jenkins,High School,Skilled Manual,79
2986,13985,Alexis,Wood,Partial College,Skilled Manual,37
2987,13986,Chloe,Anderson,Partial College,Skilled Manual,37
2991,13990,Stephanie,Wood,Partial College,Skilled Manual,81
7351,18350,Emma,Ross,Partial College,Skilled Manual,26
7352,18351,Alexander,Smith,Partial College,Skilled Manual,15
7353,18352,Noah,Thomas,Bachelors,Management,24
7354,18353,Robert,Anderson,Bachelors,Management,73
